time,latitude,longitude,mag
2011-03-11T15:42:03.880Z,36.024,141.713,5.4
2011-03-11T15:46:02.560Z,35.939,141.965,5.0
2011-03-11T15:50:57.080Z,37.496,142.37,5.0
2011-03-11T15:51:44.270Z,38.699,142.991,5.0
2011-03-11T16:02:01.300Z,36.575,144.069,5.4
2011-03-11T16:04:53.280Z,39.256,144.406,5.3
2011-03-11T16:11:30.000Z,39.464,143.465,5.5
2011-03-11T16:34:21.000Z,39.621,143.379,5.0
2011-03-11T16:36:59.650Z,36.557,142.303,5.0
2011-03-11T16:55:53.460Z,37.817,143.149,5.0
2011-03-11T16:59:55.980Z,38.167,144.338,5.0
2011-03-11T17:11:14.950Z,38.501,144.3,5.0
2011-03-11T17:12:37.500Z,37.472,144.091,5.0
2011-03-11T17:16:56.210Z,36.999,144.159,5.6
2011-03-11T17:17:23.610Z,35.331,141.391,5.5
2011-03-11T17:20:54.290Z,37.743,143.571,5.1
2011-03-11T17:22:56.000Z,36.566,142.428,5.1
2011-03-11T17:23:55.220Z,35.997,141.814,5.0
2011-03-11T17:30:47.410Z,37.377,141.136,5.0
2011-03-11T17:32:12.250Z,37.055,144.632,5.4
2011-03-11T17:34:20.820Z,37.329,142.706,5.1
2011-03-11T17:38:04.010Z,39.742,143.423,5.2
2011-03-11T17:50:01.780Z,37.663,144.909,5.0
2011-03-11T17:51:22.700Z,36.765,142.056,5.0
2011-03-11T18:11:24.660Z,37.197,142.096,5.7
2011-03-11T18:13:41.870Z,36.453,142.205,5.1
2011-03-11T18:17:07.290Z,36.22,141.628,5.8
2011-03-11T18:43:02.930Z,39.188,143.255,5.0
2011-03-11T18:44:09.200Z,36.832,141.024,5.0
2011-03-11T18:45:26.510Z,36.129,141.241,5.1
2011-03-11T18:55:11.360Z,35.8,141.741,5.0
2011-03-11T18:59:16.540Z,37.014,138.376,6.2
2011-03-11T19:02:59.170Z,39.342,142.872,6.0
2011-03-11T19:08:38.730Z,36.264,140.884,5.5
2011-03-11T19:10:52.320Z,38.163,144.015,5.0
2011-03-11T19:24:24.510Z,35.685,140.658,5.5
2011-03-11T19:30:08.980Z,37.059,142.983,5.0
2011-03-11T19:31:56.250Z,36.943,138.3,5.7
2011-03-11T19:32:15.840Z,37.111,142.44,5.2
2011-03-11T19:40:11.640Z,37.436,143.558,5.0
2011-03-11T19:45:21.780Z,37.562,141.578,5.2
2011-03-11T19:46:50.880Z,40.483,139.055,6.2
2011-03-11T19:56:01.700Z,38.895,144.356,5.0
2011-03-11T20:11:24.060Z,39.005,142.633,6.1
2011-03-11T20:15:18.220Z,38.385,144.859,5.0
2011-03-11T20:23:41.280Z,35.814,141.605,5.7
2011-03-11T20:25:24.270Z,36.898,141.967,5.2
2011-03-11T20:26:16.730Z,37.678,143.34,5.4
2011-03-11T20:34:41.990Z,36.997,141.118,5.1
2011-03-11T20:36:10.270Z,37.829,142.828,5.5
2011-03-11T20:41:24.280Z,37.662,143.713,5.1
2011-03-11T20:42:38.600Z,38.275,142.257,5.0
2011-03-11T20:46:59.300Z,39.167,143.002,5.0
2011-03-11T21:00:43.950Z,38.998,142.478,5.4
2011-03-11T21:03:35.010Z,37.829,142.911,5.0
